July,August,September
0,0,0
76,81,89
89,90,99
0,0,0
0,333,367
1268,2043,2247
0,0,0
888,95,104
0,0,0
0,121,134
12,33,36
53,0,0
618,612,677
2,16,16
2,155,170
0,27,30
0,0,0
215,245,268
0,0,0
0,0,0
306,0,0
29,201,222
0,192,210
0,576,632
22,76,83
0,0,0
184,132,145
0,0,0
114,117,129
196,0,0
122,6,6
24,4,4
222,142,161
0,0,0
296,392,432
167,556,611
2562,2733,3006
0,0,0
350,84,93
29,30,33
178,178,198
2014,2125,2338
90,136,148
158,38,39
16,311,341
462,6,6
92,67,71
1715,1689,1860
1304,588,648
259,267,296
239,498,548
130,222,246
107,126,140
131,60,66
782,269,296
346,126,139
0,4102,4512
750,1831,2013
0,0,0
0,1,1
640,1085,1194
334,1204,1323
1080,1020,1128
0,0,0
271,322,354
2199,3796,4174
322,135,151
324,237,261
2,4,4
328,388,426
