,July,August,September,October,November,December,January,February,March,April,May,June
Agency A Program 1,0,0,0,0,0,0,0,0,0,0,0,0
Agency B Program 1,76,81,89,79,80,79,79,86,81,77,79,86
Agency B Program 2,89,90,99,89,83,86,82,89,83,77,86,76
 Agency C Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency D Program 1,0,333,367,216,331,255,337,331,1,328,258,194
 Agency D Program 2,1268,2043,2247,1810,1685,1924,1274,1601,1974,1640,1520,1493
 Agency E Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency E Program 2,888,95,104,590,589,584,521,675,145,808,731,239
 Agency E Program 3,0,0,0,0,0,0,0,0,0,0,0,0
 Agency E Program 4,0,121,134,0,64,94,104,44,126,14,109,27
 Agency E Program 5,12,33,36,25,32,17,22,23,30,24,36,20
 Agency E Program 6,53,0,0,16,34,41,48,41,46,52,28,2
 Agency E Program 7,618,612,677,665,639,672,627,648,641,637,638,677
 Agency E Program 8,2,16,16,6,9,6,10,7,13,9,13,5
 Agency F Program 1,2,155,170,156,120,32,146,41,74,8,67,55
 Agency F Program 2,0,27,30,27,28,28,30,28,28,28,28,30
 Agency G Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency H Program 1,215,245,268,248,251,227,255,262,253,215,217,263
 Agency I Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency I Program 2,0,0,0,0,0,0,0,0,0,0,0,0
 Agency J Program 1,306,0,0,130,84,82,258,153,298,289,32,276
 Agency K Program 1,29,201,222,70,137,99,141,169,201,112,74,72
 Agency L Program 1,0,192,210,96,206,209,89,77,150,184,14,89
 Agency L Program 2,0,576,632,585,526,392,321,155,397,362,4,284
 Agency M Program 1,22,76,83,82,51,82,60,71,41,63,68,55
 Agency N Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency O Program 1,184,132,145,132,136,134,145,137,135,135,134,138
 Agency O Program 2,0,0,0,0,0,0,0,0,0,0,0,0
 Agency P Program 1,114,117,129,114,121,114,125,129,114,124,116,120
 Agency Q Program 1,196,0,0,69,191,119,182,153,192,36,97,132
 Agency R Program 1,122,6,6,71,89,22,41,19,50,100,91,114
 Agency S Program 1,24,4,4,11,7,5,24,20,18,5,10,10
 Agency S Program 2,222,142,161,213,211,221,218,196,171,175,180,178
 Agency T Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency U Program 1,296,392,432,375,354,354,429,414,312,335,368,400
 Agency V Program 1,167,556,611,503,416,408,299,304,304,202,455,579
 Agency W Program 1,2562,2733,3006,2937,2765,2703,2722,2591,2650,2876,2865,2990
 Agency W Program 2,0,0,0,0,0,0,0,0,0,0,0,0
 Agency X Program 1,350,84,93,243,315,254,154,248,202,171,321,270
 Agency X Program 2,29,30,33,29,33,29,30,29,33,29,33,30
 Agency Y Program 1,178,178,198,198,196,192,181,196,188,192,184,192
 Agency Y Program 2,2014,2125,2338,2280,2096,2248,2118,2329,2080,2188,2264,2049
 Agency Z Program 1,90,136,148,90,96,99,101,141,126,131,121,130
 Agency AA Program 1,158,38,39,58,149,49,125,76,48,151,103,52
 Agency BB Program 1,16,311,341,290,35,333,111,142,277,124,51,277
 Agency CC Program 1,462,6,6,29,148,51,182,398,250,243,400,319
 Agency DD Program 1,92,67,71,92,71,84,72,77,72,81,71,92
 Agency EE Program 1,1715,1689,1860,1729,1745,1809,1821,1761,1834,1713,1814,1840
 Agency EE Program 2,1304,588,648,1104,1047,920,692,773,858,917,681,933
 Agency FF Program 1,259,267,296,267,264,272,267,286,259,283,264,286
 Agency FF Program 2,239,498,548,264,310,376,388,310,282,500,456,526
 Agency GG Program 1,130,222,246,186,239,181,195,213,185,180,139,185
 Agency HH Program 1,107,126,140,136,122,107,122,128,108,108,119,114
Agency II Program 1,131,60,66,111,69,115,106,112,86,69,94,124
Agency II Program 2,782,269,296,430,780,650,349,368,372,777,757,370
 Agency II Program 3,346,126,139,160,223,291,221,187,314,248,310,297
 Agency JJ  Program 1,0,4102,4512,1943,1796,908,576,390,3782,3303,194,1251
 Agency JJ  Program 2,750,1831,2013,1383,1087,1338,1624,1515,1455,1410,1648,1510
 Agency KK Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency LL Program 1,0,1,1,0,0,0,0,0,1,0,0,0
 Agency MM Program 1,640,1085,1194,882,1076,970,873,1179,1074,1097,772,955
 Agency NN Program 1,334,1204,1323,366,1308,280,859,365,1013,545,1147,1285
 Agency OO Program 1,1080,1020,1128,1127,1113,1102,1090,1093,1124,1080,1121,1104
 Agency PP Program 1,0,0,0,0,0,0,0,0,0,0,0,0
 Agency QQ Program 1,271,322,354,310,346,354,318,281,293,350,353,339
 Agency RR Program 1,2199,3796,4174,2990,3143,2964,4068,4079,2313,2922,2461,3836
 Agency RR Program 2,322,135,151,313,246,275,292,295,286,165,237,310
 Agency RR Program 3,324,237,261,291,303,269,268,298,270,261,320,267
 Agency RR Program 4,2,4,4,4,4,3,2,4,3,2,2,3
 Agency RR Program 5,328,388,426,380,339,387,369,378,373,364,342,381
